file,line,col,code,severity,message,expected
Linear_Modes_02.cmd,39,4,I006,info,Manual adams_id assignment — consider letting Adams auto-assign,False
Linear_Modes_02.cmd,63,4,I006,info,Manual adams_id assignment — consider letting Adams auto-assign,False
Linear_Modes_02.cmd,69,4,I006,info,Manual adams_id assignment — consider letting Adams auto-assign,False
Linear_Modes_02.cmd,75,4,I006,info,Manual adams_id assignment — consider letting Adams auto-assign,False
Linear_Modes_02.cmd,81,4,I006,info,Manual adams_id assignment — consider letting Adams auto-assign,False
Linear_Modes_02.cmd,101,4,I006,info,Manual adams_id assignment — consider letting Adams auto-assign,False
Linear_Modes_02.cmd,112,4,I006,info,Manual adams_id assignment — consider letting Adams auto-assign,False
Linear_Modes_02.cmd,118,4,I006,info,Manual adams_id assignment — consider letting Adams auto-assign,False
Linear_Modes_02.cmd,124,4,I006,info,Manual adams_id assignment — consider letting Adams auto-assign,False
Linear_Modes_02.cmd,130,4,I006,info,Manual adams_id assignment — consider letting Adams auto-assign,False
Linear_Modes_02.cmd,136,4,I006,info,Manual adams_id assignment — consider letting Adams auto-assign,False
Linear_Modes_02.cmd,142,4,I006,info,Manual adams_id assignment — consider letting Adams auto-assign,False
Linear_Modes_02.cmd,161,4,I006,info,Manual adams_id assignment — consider letting Adams auto-assign,False
Linear_Modes_02.cmd,180,4,I006,info,Manual adams_id assignment — consider letting Adams auto-assign,False
Linear_Modes_02.cmd,191,4,I006,info,Manual adams_id assignment — consider letting Adams auto-assign,False
Linear_Modes_02.cmd,197,4,I006,info,Manual adams_id assignment — consider letting Adams auto-assign,False
Linear_Modes_02.cmd,203,4,I006,info,Manual adams_id assignment — consider letting Adams auto-assign,False
Linear_Modes_02.cmd,209,4,I006,info,Manual adams_id assignment — consider letting Adams auto-assign,False
Linear_Modes_02.cmd,228,4,I006,info,Manual adams_id assignment — consider letting Adams auto-assign,False
Linear_Modes_02.cmd,247,4,I006,info,Manual adams_id assignment — consider letting Adams auto-assign,False
Linear_Modes_02.cmd,258,4,I006,info,Manual adams_id assignment — consider letting Adams auto-assign,False
Linear_Modes_02.cmd,264,4,I006,info,Manual adams_id assignment — consider letting Adams auto-assign,False
Linear_Modes_02.cmd,270,4,I006,info,Manual adams_id assignment — consider letting Adams auto-assign,False
Linear_Modes_02.cmd,276,4,I006,info,Manual adams_id assignment — consider letting Adams auto-assign,False
Linear_Modes_02.cmd,295,4,I006,info,Manual adams_id assignment — consider letting Adams auto-assign,False
Linear_Modes_02.cmd,311,4,I006,info,Manual adams_id assignment — consider letting Adams auto-assign,False
Linear_Modes_02.cmd,321,4,I006,info,Manual adams_id assignment — consider letting Adams auto-assign,False
Linear_Modes_02.cmd,334,4,I006,info,Manual adams_id assignment — consider letting Adams auto-assign,False
Linear_Modes_02.cmd,343,4,I006,info,Manual adams_id assignment — consider letting Adams auto-assign,False
Linear_Modes_02.cmd,352,4,I006,info,Manual adams_id assignment — consider letting Adams auto-assign,False
Linear_Modes_02.cmd,361,4,I006,info,Manual adams_id assignment — consider letting Adams auto-assign,False
Linear_Modes_02.cmd,389,4,I006,info,Manual adams_id assignment — consider letting Adams auto-assign,False
Linear_Modes_02.cmd,395,4,I006,info,Manual adams_id assignment — consider letting Adams auto-assign,False
Linear_Modes_02.cmd,401,4,I006,info,Manual adams_id assignment — consider letting Adams auto-assign,False
Linear_Modes_02.cmd,407,4,I006,info,Manual adams_id assignment — consider letting Adams auto-assign,False
MaxFlex_Attribute_Info.cmd,80,4,I006,info,Manual adams_id assignment — consider letting Adams auto-assign,False
MaxFlex_Attribute_Info.cmd,104,4,I006,info,Manual adams_id assignment — consider letting Adams auto-assign,False
MaxFlex_Attribute_Info.cmd,145,4,I006,info,Manual adams_id assignment — consider letting Adams auto-assign,False
MaxFlex_Attribute_Info.cmd,162,4,I006,info,Manual adams_id assignment — consider letting Adams auto-assign,False
av25622_input.cmd,39,4,I006,info,Manual adams_id assignment — consider letting Adams auto-assign,False
av25622_input.cmd,63,4,I006,info,Manual adams_id assignment — consider letting Adams auto-assign,False
av25622_input.cmd,83,4,I006,info,Manual adams_id assignment — consider letting Adams auto-assign,False
av25622_input.cmd,94,4,I006,info,Manual adams_id assignment — consider letting Adams auto-assign,False
av25622_input.cmd,100,4,I006,info,Manual adams_id assignment — consider letting Adams auto-assign,False
av25622_input.cmd,106,4,I006,info,Manual adams_id assignment — consider letting Adams auto-assign,False
av25622_input.cmd,112,4,I006,info,Manual adams_id assignment — consider letting Adams auto-assign,False
av25622_input.cmd,139,4,I006,info,Manual adams_id assignment — consider letting Adams auto-assign,False
